latitude,daily_traffic_avg
26.2,911
27.8,912
29.4,574
29.4,1324
29.4,1410
29.4,1222
29.4,329
29.6,582
29.6,869
29.8,1948
29.8,932
29.8,1301
29.8,804
29.8,1499
29.8,1375
29.8,322
29.8,1335
29.8,441
29.8,241
29.8,538
29.8,1713
29.8,891
29.8,1367
30.1,535
30.2,390
30.2,670
30.3,828
30.3,149
30.3,1102
30.3,682
30.3,228
30.3,568
30.3,1904
30.5,680
30.5,450
31.8,423
31.8,832
31.8,412
31.8,259
32.6,1064
32.6,329
32.7,886
32.7,1099
32.8,1219
32.8,1205
32.8,417
32.8,179
32.8,1236
32.8,569
32.8,1105
32.8,1226
32.8,682
32.8,540
32.8,559
32.8,294
32.8,1159
32.8,293
32.8,517
32.8,1465
32.8,1276
32.8,866
32.9,945
32.9,720
32.9,642
32.9,747
33.0,1132
33.0,1050
33.0,785
33.0,457
33.0,995
33.1,1412
33.1,757
33.2,1027
33.2,1184
33.2,1475
33.2,681
33.5,860
33.6,288
33.7,508
33.7,251
33.7,1028
33.7,1967
33.8,1007
33.9,433
33.9,213
33.9,932
33.9,350
33.9,994
34.0,847
34.0,496
34.0,768
34.0,1022
34.0,627
34.0,746
34.0,665
34.0,1062
34.1,993
34.1,1152
34.2,276
38.8,620
38.8,324
38.8,647
38.8,524
38.8,1475
39.1,432
39.4,418
39.4,764
39.5,1297
39.5,944
39.5,652
39.6,531
39.6,1227
39.6,638
39.6,838
39.6,165
39.6,536
39.6,366
39.6,546
39.7,379
39.7,975
39.7,154
39.7,238
39.7,877
39.7,448
39.7,1127
39.7,455
39.7,605
39.7,348
39.7,509
39.7,554
39.7,399
39.7,266
39.7,726
39.8,261
39.8,467
39.8,355
39.8,316
39.9,531
39.9,749
39.9,440
40.0,592
40.0,210
40.0,322
40.0,415
40.0,788
40.0,1364
40.0,662
40.2,637
40.2,403
40.4,443
40.4,392
40.6,1333
40.6,1316
40.6,178
40.6,366